Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C13, C2, C3",0402,4,1u,GRM155Z71A105KE01D
"C11, C12, C14, C15, C16, C17, C18, C6, C7, C8, C9",0402,11,100n,0402B104J160CT
"C4, C5",0402,2,15p,GRM1555C1H150FA01D
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,TYPE-C-31-M-12
"R1, R2",0402,2,5k1,CRCW04025K10JNED
"R10, R6",0402,2,10k,CRCW040210K0FKEDC
"R5, R9",0402,2,1k,CRCW04021K00FKED
"R7, R8",0402,2,27.4,CRCW040227R0FKED
"SW1, SW2",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,2,~,
U1,SOT-23-6,1,USBLC6-2SC6,USBLC6-2SC6
U2,FPC-SMD_18P-P0.50_TF31-18S-0.5SH-800,1,TF31-18S-0.5SH(800),
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,RP2040
U5,SOT-23-5,1,AP2112K-3.3,AP2112K-3.3
U6,USON-8_L3.0-W2.0-P0.50-BL-EP,1,~,
X1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-272-T3,ABM8-272-T3
