Designator,Mid X,Mid Y,Rotation,Layer
C10,160.061878,-100.708623,0.0,top
C11,148.995657,-103.077428,180.0,top
C12,150.180061,-97.508962,90.0,top
C13,151.134655,-97.508962,270.0,top
C14,152.053894,-97.508964,90.0,top
C15,152.997882,-97.50543,90.0,top
C16,148.995656,-102.087483,180.0,top
C17,148.995657,-101.097529,180.0,top
C18,147.075,-104.24281,90.0,top
C2,153.4,-94.30531,270.0,top
C3,159.125,-94.35531,270.0,top
C4,162.769506,-105.811348,180.0,top
C5,162.804862,-100.578758,0.0,top
C6,160.068948,-101.705644,0.0,top
C7,155.925306,-97.50543,90.0,top
C8,155.854593,-107.957471,270.0,top
C9,152.3,-107.935425,270.0,top
H1,141.7,-114.48281,0.0,top
H2,162.795,-91.04281,0.0,top
H3,141.7,-99.50531,0.0,top
J1,145.9375,-91.135309,180.0,top
R1,151.825,-95.21781,270.0,top
R10,147.075,-106.24281,90.0,top
R2,140.075,-95.3025,270.0,top
R5,160.084999,-102.71781,180.0,top
R6,160.097236,-99.683318,180.0,top
R7,148.995657,-99.11763,0.0,top
R8,148.995656,-100.107584,0.0,top
R9,147.075,-108.21781,90.0,top
SW1,143.25,-103.835743,180.0,top
SW2,143.25,-109.15531,180.0,top
U1,145.950396,-98.485309,90.0,top
U2,155.2,-113.01781,0.0,top
U4,154.9,-102.61781,180.0,top
U5,156.280932,-94.29281,180.0,top
U6,148.924999,-106.222672,0.0,top
X1,162.8,-103.19281,90.0,top
