Designator,Mid X,Mid Y,Rotation,Layer
D1,52.982857,-75.902408,90.0,bottom
D10,224.464673,-75.90228,90.0,bottom
D11,243.514657,-75.90228,90.0,bottom
D12,262.564641,-75.90228,90.0,bottom
D13,52.982857,-82.748506,270.0,bottom
D14,72.032857,-82.748506,270.0,bottom
D15,91.082736,-82.748368,270.0,bottom
D16,110.132857,-82.748507,270.0,bottom
D17,129.182857,-82.748507,270.0,bottom
D18,167.282857,-82.748507,270.0,bottom
D19,186.332857,-82.748507,270.0,bottom
D2,72.032873,-75.902408,90.0,bottom
D20,205.382857,-82.748507,270.0,bottom
D21,224.432857,-82.748507,270.0,bottom
D22,243.482857,-82.748507,270.0,bottom
D23,262.532857,-82.748507,270.0,bottom
D24,148.232733,-82.907257,270.0,bottom
D25,148.232688,-113.697396,90.0,bottom
D26,52.982857,-113.704783,90.0,bottom
D27,72.032873,-113.704783,90.0,bottom
D28,91.082889,-113.704783,90.0,bottom
D29,110.132905,-113.704783,90.0,bottom
D3,91.082889,-75.902408,90.0,bottom
D30,129.182921,-113.704783,90.0,bottom
D31,167.282953,-113.704783,90.0,bottom
D32,186.332969,-113.704783,90.0,bottom
D33,205.382985,-113.704783,90.0,bottom
D34,224.433001,-113.704783,90.0,bottom
D35,243.483017,-113.704783,90.0,bottom
D36,262.533033,-113.704766,90.0,bottom
D37,52.982857,-123.229792,270.0,bottom
D38,72.032873,-123.22969,270.0,bottom
D39,91.082889,-123.22969,270.0,bottom
D4,110.164769,-75.90228,90.0,bottom
D40,110.132905,-123.229792,270.0,bottom
D41,129.182921,-123.229792,270.0,bottom
D42,157.75768,-123.229584,270.0,bottom
D43,186.332969,-123.229792,270.0,bottom
D44,205.382985,-123.229792,270.0,bottom
D45,224.433001,-123.22969,270.0,bottom
D46,243.483017,-123.229792,270.0,bottom
D47,262.533033,-123.22969,270.0,bottom
D5,129.214753,-75.90228,90.0,bottom
D6,148.264737,-75.90228,90.0,bottom
D7,167.314721,-75.90228,90.0,bottom
D8,186.364705,-75.90228,90.0,bottom
D9,205.414689,-75.90228,90.0,bottom
H1,54.768796,-66.675056,0.0,top
H2,54.768796,-118.467287,0.0,top
H3,111.918844,-66.895368,0.0,top
H4,111.918844,-118.467287,0.0,top
H5,188.150649,-67.134826,0.0,top
H6,188.118908,-118.582145,0.0,top
H7,245.268956,-66.922055,0.0,top
H8,245.268956,-118.467287,0.0,top
MX1,45.24375,-69.05625,180.0,bottom
MX10,216.69375,-69.05625,180.0,bottom
MX11,235.74375,-69.05625,180.0,bottom
MX12,254.79375,-69.05625,180.0,bottom
MX13,45.24375,-88.10625,180.0,bottom
MX14,64.29375,-88.10625,180.0,bottom
MX15,83.34375,-88.10625,180.0,bottom
MX16,102.39375,-88.10625,180.0,bottom
MX17,121.44375,-88.10625,180.0,bottom
MX18,140.49375,-88.10625,180.0,bottom
MX19,159.54375,-88.10625,180.0,bottom
MX2,64.29375,-69.05625,180.0,bottom
MX20,178.59375,-88.10625,180.0,bottom
MX21,197.64375,-88.10625,180.0,bottom
MX22,216.69375,-88.10625,180.0,bottom
MX23,235.74375,-88.10625,180.0,bottom
MX24,254.79375,-88.10625,180.0,bottom
MX25,45.24375,-107.15625,180.0,bottom
MX26,64.29375,-107.15625,180.0,bottom
MX27,83.34375,-107.15625,180.0,bottom
MX28,102.39375,-107.15625,180.0,bottom
MX29,121.44375,-107.15625,180.0,bottom
MX3,83.34375,-69.05625,180.0,bottom
MX30,140.49375,-107.15625,180.0,bottom
MX31,159.54375,-107.15625,180.0,bottom
MX32,178.59375,-107.15625,180.0,bottom
MX33,197.64375,-107.15625,180.0,bottom
MX34,216.69375,-107.15625,180.0,bottom
MX35,235.74375,-107.15625,180.0,bottom
MX36,254.79375,-107.15625,180.0,bottom
MX37,45.24375,-126.20625,180.0,bottom
MX38,64.29375,-126.20625,180.0,bottom
MX39,83.34375,-126.20625,180.0,bottom
MX4,102.39375,-69.05625,180.0,bottom
MX40,102.39375,-126.20625,180.0,bottom
MX41,121.44375,-126.20625,180.0,bottom
MX42,150.01875,-126.20625,180.0,bottom
MX43,178.59375,-126.20625,180.0,bottom
MX44,197.64375,-126.20625,180.0,bottom
MX45,216.69375,-126.20625,180.0,bottom
MX46,235.74375,-126.20625,180.0,bottom
MX47,254.79375,-126.20625,180.0,bottom
MX5,121.44375,-69.05625,180.0,bottom
MX6,140.49375,-69.05625,180.0,bottom
MX7,159.54375,-69.05625,180.0,bottom
MX8,178.59375,-69.05625,180.0,bottom
MX9,197.64375,-69.05625,180.0,bottom
S1,150.018624,-126.206144,0.0,top
U1,150.002224,-103.21407,180.0,bottom
