Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C14, C15, C16, C17, C6, C7, C8, C9",0402,11,100n,
"C10, C13, C2, C3",0402,4,1u,
"C4, C5",0402,2,15p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D5, D6, D7, D8, D9",D_SOD-323,47,1N4148WS,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX5, MX6, MX7, MX8, MX9",SW_MX_HS_CPG151101S11_1u,47,MX_SW_HS,
"R1, R2",0402,2,5k1,
"R3, R6",0402,2,10k,
"R4, R5",0402,2,1k,
"R7, R8",0402,2,27.4,
S1,STAB_choc_2u,1,choc_stab,
"SW1, SW2",SW_SPST_TL3342,2,SW_Push,
U1,SOT-23-6,1,USBLC6-2SC6,
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVS,
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U5,SOT-23-5,1,AP2112K-3.3,
X1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-272-T3,
