Designator,Mid X,Mid Y,Rotation,Layer
C1,102.393664,-97.631168,0.0,bottom
C10,87.510864,-99.026312,0.0,bottom
C11,99.417104,-101.705216,180.0,bottom
C12,98.672964,-95.99406,90.0,bottom
C13,97.631168,-95.99406,270.0,bottom
C14,96.589372,-95.99406,90.0,bottom
C15,94.654608,-95.547576,90.0,bottom
C16,99.417104,-100.66342,180.0,bottom
C17,99.417104,-99.621624,180.0,bottom
C2,84.08782,-65.335492,90.0,bottom
C3,87.510864,-67.121428,0.0,bottom
C4,83.628288,-102.28412,180.0,bottom
C5,83.628288,-96.926312,0.0,bottom
C6,87.510864,-100.068108,0.0,bottom
C7,91.52922,-95.547576,90.0,bottom
C8,91.919688,-106.170056,270.0,bottom
C9,96.7382,-105.072568,180.0,bottom
D1,52.982857,-76.200064,90.0,bottom
D10,224.464673,-66.127588,270.0,bottom
D11,243.514657,-66.127588,270.0,bottom
D12,262.564641,-66.127588,270.0,bottom
D13,52.982857,-82.153194,270.0,bottom
D14,72.032857,-82.153194,270.0,bottom
D15,91.082736,-84.236648,270.0,bottom
D16,110.132857,-82.748507,270.0,bottom
D17,129.182857,-82.748507,270.0,bottom
D18,148.232733,-82.907257,270.0,bottom
D19,167.282857,-82.748507,270.0,bottom
D2,72.032873,-76.200064,90.0,bottom
D20,186.332857,-82.748507,270.0,bottom
D21,205.382857,-82.748507,270.0,bottom
D22,224.432857,-82.748507,270.0,bottom
D23,243.482857,-82.748507,270.0,bottom
D24,262.532857,-82.748507,270.0,bottom
D25,52.982857,-113.704783,90.0,bottom
D26,72.032873,-113.704783,90.0,bottom
D27,91.082889,-113.704783,90.0,bottom
D28,110.132905,-113.704783,90.0,bottom
D29,129.182921,-113.704783,90.0,bottom
D3,91.082889,-76.200064,90.0,bottom
D30,148.232937,-104.775088,270.0,bottom
D31,167.282953,-113.704783,90.0,bottom
D32,186.332969,-113.704783,90.0,bottom
D33,205.382985,-113.704783,90.0,bottom
D34,224.433001,-113.704783,90.0,bottom
D35,243.483017,-113.704783,90.0,bottom
D36,262.533033,-103.584462,270.0,bottom
D37,52.982857,-121.443852,270.0,bottom
D38,72.032873,-121.44375,270.0,bottom
D39,91.082889,-121.44375,270.0,bottom
D4,110.164769,-66.127588,270.0,bottom
D40,110.132905,-121.443852,270.0,bottom
D41,129.182921,-121.443852,270.0,bottom
D42,157.75768,-124.420208,270.0,bottom
D43,186.332969,-121.443852,270.0,bottom
D44,205.382985,-121.443852,270.0,bottom
D45,224.433001,-121.44375,270.0,bottom
